Tamanho, AVL_Ins, AVL_Rem, RN_Ins, RN_Rem, B1_Splits, B1_Fusoes, B1_Emp, B5_Splits, B5_Fusoes, B5_Emp, B10_Splits, B10_Fusoes, B10_Emp
1000,13631.40,14225.20,8787.00,8068.40,705.30,705.30,309.40,135.50,135.50,307.80,66.20,66.20,290.90
2000,30017.00,31037.90,19607.70,18129.30,1340.10,1340.10,581.10,261.20,261.20,615.60,128.20,128.20,567.10
3000,47306.40,48468.30,31186.50,28920.70,1919.80,1919.80,827.50,373.30,373.30,869.90,185.50,185.50,828.00
4000,65142.40,66367.70,43276.20,40180.10,2433.50,2433.50,1058.20,476.20,476.20,1105.80,236.70,236.70,1039.50
5000,83265.80,84353.00,55767.50,51821.60,2914.20,2914.20,1252.60,572.30,572.30,1308.40,279.00,279.00,1254.30
6000,101627.40,102522.80,68531.00,63757.40,3342.00,3342.00,1457.20,653.10,653.10,1521.10,321.20,321.20,1449.40
7000,120196.70,120167.40,81576.70,75878.90,3724.90,3724.90,1609.10,722.40,722.40,1693.70,361.00,361.00,1573.90
8000,138931.80,138053.60,94826.60,88199.60,4072.70,4072.70,1754.30,793.20,793.20,1863.20,396.50,396.50,1763.40
9000,157731.20,155755.60,108257.90,100605.50,4379.70,4379.70,1902.10,855.60,855.60,2011.00,426.50,426.50,1897.30
10000,176608.10,173276.70,121852.90,113198.30,4653.50,4653.50,2001.60,911.70,911.70,2154.50,454.10,454.10,1996.20
